title,movie_id,genres,rating,overview
The Dark Knight,155,Action|Crime|Drama,9.0,"Batman faces the Joker, a criminal mastermind who seeks to undermine society."
Inception,27205,Action|Sci-Fi|Thriller,8.8,A thief who steals corporate secrets through dream-sharing technology.
Pulp Fiction,680,Crime|Drama,8.9,"The lives of two mob hitmen, a boxer, and a pair of diner bandits intertwine."
Forrest Gump,13,Drama|Romance,8.8,"The presidencies of Kennedy and Johnson, the events of Vietnam."
The Godfather,238,Crime|Drama,9.2,The aging patriarch of an organized crime dynasty transfers control to his son.
The Shawshank Redemption,278,Drama,9.3,Two imprisoned men bond over a number of years.
Fight Club,550,Drama,8.8,An insomniac office worker and a devil-may-care soapmaker form an underground fight club.
The Matrix,603,Action|Sci-Fi,8.7,A computer hacker learns about the true nature of his reality.
Interstellar,157336,Adventure|Drama|Sci-Fi,8.6,A team of explorers travel through a wormhole in space.
Parasite,496243,Comedy|Drama|Thriller,8.6,A poor family schemes to become employed by a wealthy family.
